candles

open;close;high;low;value;volume;begin;end
1383.57;1360.04;1413.82;1326.48;15558284144.821;0;2019-07-01 00:00:00;2019-07-31 00:00:00
1280.99;1380.52;1396.19;1273.62;15275711993.452;0;2019-06-01 00:00:00;2019-06-30 00:00:00
1247.09;1287.09;1296.85;1206.96;14927095865.803001;0;2019-05-01 00:00:00;2019-05-31 00:00:00
1199.31;1248.39;1284.91;1199.31;13236988350.364002;0;2019-04-01 00:00:00;2019-04-30 00:00:00
1188.8;1198.11;1243.7;1173.05;10989237059.498001;0;2019-03-01 00:00:00;2019-03-31 00:00:00
1213.7;1188.28;1226.56;1151.95;10838667169.47;0;2019-02-01 00:00:00;2019-02-28 00:00:00
1069.39;1214.45;1224.55;1063.63;10372829614.987;0;2019-01-01 00:00:00;2019-01-31 00:00:00
1131.7;1068.72;1163.61;1033.31;10243379935.109102;0;2018-12-01 00:00:00;2018-12-31 00:00:00
1125.14;1126.14;1168.55;1072.69;13100399117.175003;0;2018-11-01 00:00:00;2018-11-30 00:00:00
1192.55;1126.21;1202.16;1087.74;14856225679.250998;0;2018-10-01 00:00:00;2018-10-31 00:00:00
1093.34;1192.04;1192.04;1040.3;12529288780.066;0;2018-09-01 00:00:00;2018-09-30 00:00:00
1168.12;1092.29;1170.02;1039.29;12827784420.268002;0;2018-08-01 00:00:00;2018-08-31 00:00:00
1151.98;1173.06;1202.42;1112.63;11701028111.882;0;2018-07-01 00:00:00;2018-07-31 00:00:00
1159.63;1154.16;1186.63;1077.52;11470096661.2769;0;2018-06-01 00:00:00;2018-06-30 00:00:00
1153.31;1162.98;1203.99;1128.22;12267368727.179;0;2018-05-01 00:00:00;2018-05-31 00:00:00
1252.44;1153.96;1259.59;1042.82;20499450711.403202;0;2018-04-01 00:00:00;2018-04-30 00:00:00
1278.68;1249.41;1297.3;1222.47;14160515458.925;0;2018-03-01 00:00:00;2018-03-31 00:00:00
1284.7;1285.47;1339.41;1177.54;15314009253.002;0;2018-02-01 00:00:00;2018-02-28 00:00:00
1154.44;1282.36;1313.44;1154.44;13781102344.81;0;2018-01-01 00:00:00;2018-01-31 00:00:00
1133.41;1154.43;1157.43;1113.04;9437073545.333;0;2017-12-01 00:00:00;2017-12-29 00:00:00
1118.34;1131.56;1170.46;1107.65;15513879728.44;0;2017-11-01 00:00:00;2017-11-30 00:00:00
1138.21;1113.41;1161.82;1105.5;10569279547.639997;0;2017-10-01 00:00:00;2017-10-31 00:00:00
1098.08;1136.75;1144.12;1086.77;11628994421.169998;0;2017-09-01 00:00:00;2017-09-30 00:00:00
1014.43;1095.84;1098.46;1010.5;10614777885.130001;0;2017-08-01 00:00:00;2017-08-31 00:00:00
1008.41;1007.14;1052.59;990.51;10007878970.76;0;2017-07-01 00:00:00;2017-07-31 00:00:00
1058.7;1000.96;1060.08;958.83;11892280425.440002;0;2017-06-01 00:00:00;2017-06-30 00:00:00
1118.95;1053.3;1129.49;1048.93;10955811733.39;0;2017-05-01 00:00:00;2017-05-31 00:00:00
1118.93;1114.43;1157.45;1062.9;10695560154.630001;0;2017-04-01 00:00:00;2017-04-30 00:00:00
1099.11;1113.76;1139.73;1044.96;12453088809.06;0;2017-03-01 00:00:00;2017-03-31 00:00:00
1162.08;1099.46;1196.99;1096.57;10421079787.449999;0;2017-02-01 00:00:00;2017-02-28 00:00:00
1147.29;1164.15;1195.61;1132.04;11460001586.669998;0;2017-01-01 00:00:00;2017-01-31 00:00:00
1036.63;1152.33;1170.51;1036.63;13129572699.570002;0;2016-12-01 00:00:00;2016-12-31 00:00:00
989.91;1029.05;1034.53;956.36;11294489015.440002;0;2016-11-01 00:00:00;2016-11-30 00:00:00
993.19;988.74;1018.98;976.26;7643938537.530001;0;2016-10-01 00:00:00;2016-10-31 00:00:00
952.93;990.88;1017.32;944.88;9243779537.970001;0;2016-09-01 00:00:00;2016-09-30 00:00:00
930.38;950.25;987.07;898.05;8491984670.849999;0;2016-08-01 00:00:00;2016-08-31 00:00:00
931.2;927.57;975.21;910.74;9335311525.2;0;2016-07-01 00:00:00;2016-07-31 00:00:00
897;930.77;967.58;874.88;10219037182.97;0;2016-06-01 00:00:00;2016-06-30 00:00:00
941.8;904.33;949.36;873.58;9564047509.72;0;2016-05-01 00:00:00;2016-05-31 00:00:00
874.41;951.11;968.03;839.62;13298996647.949999;0;2016-04-01 00:00:00;2016-04-30 00:00:00
771.72;876.2;894.76;770.87;11296818950.1;0;2016-03-01 00:00:00;2016-03-31 00:00:00
744.43;768.8;772.08;663.61;8938416398.25;0;2016-02-01 00:00:00;2016-02-29 00:00:00
755.16;745.3;761.68;607.14;8169082298.7300005;0;2016-01-01 00:00:00;2016-01-29 00:00:00
845.86;757.04;850.37;750.38;9095114441.76;0;2015-12-01 00:00:00;2015-12-30 00:00:00
843.79;847.1;902.91;812.56;10962350240.780003;0;2015-11-01 00:00:00;2015-11-30 00:00:00
791.88;845.54;897.75;759.99;12132173163.839998;0;2015-10-01 00:00:00;2015-10-30 00:00:00
844.6;789.73;845.52;762.12;9030838707.42;0;2015-09-01 00:00:00;2015-09-30 00:00:00
852.81;833.6;859.82;708.25;9827732110.119999;0;2015-08-01 00:00:00;2015-08-31 00:00:00
940.68;858.82;945.04;826.44;10888199079.85;0;2015-07-01 00:00:00;2015-07-31 00:00:00
975.6;939.93;989.87;904.76;10252586149.609999;0;2015-06-01 00:00:00;2015-06-30 00:00:00
1033.07;968.81;1092.52;968.81;11174127789.09;0;2015-05-01 00:00:00;2015-05-31 00:00:00
878.56;1029.31;1067.85;872.03;15376354383.779999;0;2015-04-01 00:00:00;2015-04-30 00:00:00
901.62;880.42;933.65;811.41;11799507797.35;0;2015-03-01 00:00:00;2015-03-31 00:00:00
754.84;896.63;937.07;725.17;13305302882.879997;0;2015-02-01 00:00:00;2015-02-28 00:00:00
785.8;737.35;845.65;720.31;9987452749.8;0;2015-01-01 00:00:00;2015-01-31 00:00:00
963.61;790.71;981.99;578.21;18876587399.65;0;2014-12-01 00:00:00;2014-12-31 00:00:00
1085.29;974.27;1086.9;965.72;14467172009.56;0;2014-11-01 00:00:00;2014-11-30 00:00:00
1122.39;1091.44;1135.82;1023.78;17764202047.18;0;2014-10-01 00:00:00;2014-10-31 00:00:00
1192.82;1123.72;1270.53;1121.28;18037747093.129997;0;2014-09-01 00:00:00;2014-09-30 00:00:00
1215.63;1190.23;1280.08;1134.04;17137216866.939999;0;2014-08-01 00:00:00;2014-08-31 00:00:00
1361.47;1219.36;1417.41;1198.37;21193455896.829998;0;2014-07-01 00:00:00;2014-07-31 00:00:00
1297.61;1366.08;1421.07;1297.61;19051061286.510002;0;2014-06-01 00:00:00;2014-06-30 00:00:00
1151.7;1295.75;1344.53;1134.31;21801661618.359997;0;2014-05-01 00:00:00;2014-05-31 00:00:00
1227.13;1155.7;1241.9;1100.85;24557011407.2;0;2014-04-01 00:00:00;2014-04-30 00:00:00
1239.77;1226.1;1239.77;1016.01;33881576040.69001;0;2014-03-01 00:00:00;2014-03-31 00:00:00
1301.02;1267.27;1359.58;1243.96;18183294516.599995;0;2014-02-01 00:00:00;2014-02-28 00:00:00
1442.73;1301.02;1443.85;1286.66;19527268119.5;0;2014-01-01 00:00:00;2014-01-31 00:00:00
1402.93;1442.73;1467.85;1360.25;20220065378.28;0;2013-12-01 00:00:00;2013-12-30 00:00:00
1480.42;1402.93;1484.74;1393.05;20399261592.13;0;2013-11-01 00:00:00;2013-11-30 00:00:00
1422.49;1480.42;1521.05;1417.07;23270713601.36;0;2013-10-01 00:00:00;2013-10-31 00:00:00
1290.96;1422.49;1496.14;1285.27;20931413608.54;0;2013-09-01 00:00:00;2013-09-30 00:00:00
1313.38;1290.96;1359.45;1285.42;14711779295.3;0;2013-08-01 00:00:00;2013-08-31 00:00:00
1275.44;1313.38;1401.64;1252.94;17864257518.79;0;2013-07-01 00:00:00;2013-07-31 00:00:00
1331.43;1275.44;1343.25;1227.01;17458875299.32;0;2013-06-01 00:00:00;2013-06-30 00:00:00
1407.21;1331.43;1471.56;1321.84;18933359269.5;0;2013-05-01 00:00:00;2013-05-31 00:00:00
1460.04;1407.21;1460.04;1314.12;20542716154.98;0;2013-04-01 00:00:00;2013-04-30 00:00:00
1534.41;1460.04;1556.58;1432.36;19496524805.6647;0;2013-03-01 00:00:00;2013-03-31 00:00:00
1621.71;1534.41;1637.62;1524.46;19302703489.1775;0;2013-02-01 00:00:00;2013-02-28 00:00:00
1526.98;1622.13;1638.08;1526.98;18193734994.1531;0;2013-01-01 00:00:00;2013-01-31 00:00:00
1437.51;1526.98;1537.44;1433.2;17186933476.5728;0;2012-12-01 00:00:00;2012-12-31 00:00:00
1433.96;1436.55;1464.82;1356.47;18457194511.628;0;2012-11-01 00:00:00;2012-11-30 00:00:00
1475.7;1433.96;1527.77;1426.26;21139148098.8728;0;2012-10-01 00:00:00;2012-10-31 00:00:00
1386.66;1475.7;1594.63;1385.27;25352162342.947;0;2012-09-01 00:00:00;2012-09-30 00:00:00
1377.06;1389.72;1463.22;1344.62;21045381217.0421;0;2012-08-01 00:00:00;2012-08-31 00:00:00
1350.51;1377.35;1423.99;1291.93;21705060592.3989;0;2012-07-01 00:00:00;2012-07-31 00:00:00
1242.43;1350.51;1361.05;1200.67;10612372343.4391;0;2012-06-01 00:00:00;2012-06-30 00:00:00
1593.97;1242.43;1610.11;1238.89;5569421177.6604;0;2012-05-01 00:00:00;2012-05-31 00:00:00
1637.73;1593.97;1687.26;1560.46;5578702266.1094;0;2012-04-01 00:00:00;2012-04-30 00:00:00
1734.99;1637.73;1762.71;1607.44;7013694762.1625;0;2012-03-01 00:00:00;2012-03-31 00:00:00
1577.46;1734.99;1743.26;1557.94;6019240657.5288;0;2012-02-01 00:00:00;2012-02-29 00:00:00
1381.87;1577.29;1581.81;1379.87;6594602799.7178;0;2012-01-01 00:00:00;2012-01-31 00:00:00
1541.67;1381.87;1567.21;1335.66;7547027566.1784;0;2011-12-01 00:00:00;2011-12-31 00:00:00
1563.28;1540.81;1596.56;1368.54;8794742288.3042;0;2011-11-01 00:00:00;2011-11-30 00:00:00
1341.09;1563.28;1628.33;1200.34;8251497037.3806;0;2011-10-01 00:00:00;2011-10-31 00:00:00
1702.28;1341.09;1703.86;1263.46;9825943603.1535;0;2011-09-01 00:00:00;2011-09-30 00:00:00
1965.26;1702.28;2011.62;1463.38;12089646223.0051;0;2011-08-01 00:00:00;2011-08-31 00:00:00
1906.71;1965.02;2002.09;1887.02;10531432833.5302;0;2011-07-01 00:00:00;2011-07-31 00:00:00
1888.6;1906.71;1950.47;1822.38;9741199483.6147;0;2011-06-01 00:00:00;2011-06-30 00:00:00
2026.94;1888.6;2036.19;1760.36;9701775070.7861;0;2011-05-01 00:00:00;2011-05-31 00:00:00
2044.2;2026.94;2134.23;1940.67;9204253494.4905;0;2011-04-01 00:00:00;2011-04-30 00:00:00
1971.46;2044.2;2047.8;1890.06;9751525765.6188;0;2011-03-01 00:00:00;2011-03-31 00:00:00
1870.31;1969.91;1972.5;1845.49;10009158555.0397;0;2011-02-01 00:00:00;2011-02-28 00:00:00
1770.27;1870.31;1922.15;1767.8;7771659447.677;0;2011-01-01 00:00:00;2011-01-31 00:00:00
1597.3;1770.28;1776.17;1594.24;10290515383.0891;0;2010-12-01 00:00:00;2010-12-31 00:00:00
1586.64;1597.35;1663.87;1551.67;10934053585.338;0;2010-11-01 00:00:00;2010-11-30 00:00:00
1507.28;1587.14;1634.66;1502.2;12318436275.316404;0;2010-10-01 00:00:00;2010-10-31 00:00:00
1421.97;1507.66;1513.48;1415.33;11426288765.989597;0;2010-09-01 00:00:00;2010-09-30 00:00:00
